Sub District Code,Granularity,Name,Type,villages_Inhabited,villages_Uninhabited,towns,households,Persons,Males,Females,Area,Density
51,SUB-DISTRICT,Pulwama,Total,0,0,1,"43,141","17,844","9,944","7,900",288.68,977
51,SUB-DISTRICT,Pulwama,Rural,187,4,0,"40,658","2,82,173","1,46,150","1,36,023",285.68,923
51,SUB-DISTRICT,Pulwama,Urban,187,4,1,"2,483","2,63,733","1,36,080","1,27,653",3,"6,147"
0,DISTRICT,Shupiyan,Total,0,0,1,"44,411","18,440","10,070","8,370",312,853
0,DISTRICT,Shupiyan,Rural,226,3,0,"41,858","2,66,215","1,36,480","1,29,735",306.56,815
0,DISTRICT,Shupiyan,Urban,226,3,1,"2,553","2,49,855","1,27,161","1,22,694",5.44,"3,007"
52,SUB-DISTRICT,Shopian,Total,0,0,1,"44,411","16,360","9,319","7,041",311.73,854
52,SUB-DISTRICT,Shopian,Rural,226,3,0,"41,858","2,66,215","1,36,480","1,29,735",306.29,816
52,SUB-DISTRICT,Shopian,Urban,226,3,1,"2,553","2,49,855","1,27,161","1,22,694",5.44,"3,007"
0,DISTRICT,Anantnag,Total,0,0,12,"1,53,640","16,360","9,319","7,041",3574,302
0,DISTRICT,Anantnag,Rural,335,7,0,"1,17,648","10,78,692","5,59,767","5,18,925",3475.76,229
0,DISTRICT,Anantnag,Urban,335,7,12,"35,992","7,95,805","4,11,012","3,84,793",98.24,"2,880"
53,SUB-DISTRICT,Pahalgam,Total,0,0,2,"19,277","2,82,887","1,48,755","1,34,132",125.22,957
53,SUB-DISTRICT,Pahalgam,Rural,65,1,0,"17,300","1,19,884","62,190","57,694",103.2,"1,009"
53,SUB-DISTRICT,Pahalgam,Urban,65,1,2,"1,977","1,04,101","53,290","50,811",22.02,717
54,SUB-DISTRICT,Bijbehara,Total,0,0,2,"20,450","15,783","8,900","6,883",142.1,"1,033"
54,SUB-DISTRICT,Bijbehara,Rural,51,1,0,"15,770","1,46,801","74,275","72,526",131.09,856
54,SUB-DISTRICT,Bijbehara,Urban,51,1,2,"4,680","1,12,197","56,259","55,938",11.01,"3,143"
55,SUB-DISTRICT,Anantnag,Total,0,0,4,"48,726","34,604","18,016","16,588",188.83,"1,932"
55,SUB-DISTRICT,Anantnag,Rural,82,4,0,"25,995","3,64,763","1,87,703","1,77,060",143.12,"1,254"
55,SUB-DISTRICT,Anantnag,Urban,82,4,4,"22,731","1,79,530","91,832","87,698",45.71,"4,052"
56,SUB-DISTRICT,Shangus,Total,0,0,1,"12,400","1,85,233","95,871","89,362",59.09,"1,254"
56,SUB-DISTRICT,Shangus,Rural,25,0,0,"11,192","74,103","39,062","35,041",57.09,"1,160"
56,SUB-DISTRICT,Shangus,Urban,25,0,1,"1,208","66,228","34,917","31,311",2,"3,938"
57,SUB-DISTRICT,Kokernag,Total,0,0,1,"27,343","7,875","4,145","3,730",126.01,"1,379"
57,SUB-DISTRICT,Kokernag,Rural,51,0,0,"26,443","1,73,712","91,173","82,539",123.01,"1,359"
57,SUB-DISTRICT,Kokernag,Urban,51,0,1,900,"1,67,159","87,355","79,804",3,"2,184"
58,SUB-DISTRICT,Dooru,Total,0,0,2,"25,444","6,553","3,818","2,735",130.69,"1,526"
58,SUB-DISTRICT,Dooru,Rural,61,1,0,"20,948","1,99,429","1,05,364","94,065",116.19,"1,434"
58,SUB-DISTRICT,Dooru,Urban,61,1,2,"4,496","1,66,590","87,359","79,231",14.5,"2,265"
0,DISTRICT,Kulgam,Total,0,0,7,"73,728","32,839","18,005","14,834",410,"1,035"
0,DISTRICT,Kulgam,Rural,226,5,0,"59,922","4,24,483","2,17,620","2,06,863",360.2,955
0,DISTRICT,Kulgam,Urban,226,5,7,"13,806","3,43,870","1,75,574","1,68,296",49.8,"1,619"
59,SUB-DISTRICT,Kulgam,Total,0,0,6,"49,700","80,613","42,046","38,567",265.36,"1,077"
59,SUB-DISTRICT,Kulgam,Rural,161,2,0,"37,288","2,85,773","1,45,794","1,39,979",215.99,995
59,SUB-DISTRICT,Kulgam,Urban,161,2,6,"12,412","2,14,925","1,09,277","1,05,648",49.37,"1,435"
60,SUB-DISTRICT, Devsar,Total,0,0,1,"4,924","70,848","36,517","34,331",20.37,"1,566"
60,SUB-DISTRICT, Devsar,Rural,15,1,0,"3,530","31,893","16,873","15,020",19.94,"1,110"
60,SUB-DISTRICT, Devsar,Urban,15,1,1,"1,394","22,128","11,344","10,784",0.43,"22,709"
